report_category,manufacturer_normalized,manufacturer_name_raw,manufacturer_catalog_number,Product_Description,contract_category,total_observed_spend,transaction_count
CT,GE,GE PRECISION HEALTHCARE LLC,E8007TB,MONITOR CT SCAN IVY 7800 CARDIAC TRIGGER NEW,COMPUTED TOMOGRAPHY,1840.0,1
CT,GE,GE PRECISION HEALTHCARE LLC,B650,MONITOR VITAL SIGN CARESCAPE ECG ST SEGMENT ARRHYTHMIA DETECTION INVASIVE PRESSURE,PHYSIOLOGICAL MONITORING SYSTEMS,6987.76,4
CT,GE,GE PRECISION HEALTHCARE LLC,E8004GE,STRAP POSITIONING VCT MEDIUM 5.9IN X 21.2IN/41IN,COMPUTED TOMOGRAPHY,5585.5,41
CT,GE,GE PRECISION HEALTHCARE LLC,E8016DA,DRAPE EQUIPMENT SLICKER W/CUSHION F/REVOLUTION CT TABLE,COMPUTED TOMOGRAPHY,24092.95,52
CT,GE,GE PRECISION HEALTHCARE LLC,0,UNKNOWN,COMPUTED TOMOGRAPHY,88919801.66000004,703
CT,GE,GE PRECISION HEALTHCARE LLC,E8016AM,COVER SLICKER 17IN X 92IN X 6.38IN THERMOSEALED SEAM/FLAP W/EXTENDER CUSHION CLEAR PVC PVC F/LIGHTSPEED/HISPEED ADVANTAGE/CTI SYSTEM,COMPUTED TOMOGRAPHY,15354.61,37
CT,GE,GE PRECISION HEALTHCARE LLC,H45581CS,PROBE REVOLUTION F/COMPUTED TOMOGRAPHY,COMPUTED TOMOGRAPHY,270000.0,6
CT,GE,GE PRECISION HEALTHCARE LLC,5363417,RING SLIP ECONOMY CT VENUS ROHS GREEN F/COMPUTED TOMOGRAPHY,COMPUTED TOMOGRAPHY,166964.8,4
CT,GE,GE PRECISION HEALTHCARE LLC,E8016BA,SLICKER CT SCAN 13INW X 24INL COVER FOOTSWITCH VCT 2000 1700 STERILE,COMPUTED TOMOGRAPHY,19413.58,237
CT,GE,GE PRECISION HEALTHCARE LLC,5262891-3,ASSEMBLY PERSEUS HEAT EXCHANGER FLUSHED ROHS COMPLIANT F/COMPUTED TOMOGRAPHY,COMPUTED TOMOGRAPHY,30926.339999999997,2
CT,GE,GE PRECISION HEALTHCARE LLC,6600-2088-500,SHROUD MONITOR 20IN INJECTION MOLDED PLASTIC F/MATERNAL INFANT CARE EA,PHYSIOLOGICAL MONITORING SYSTEMS,6167.890000000001,21
CT,GE,GE PRECISION HEALTHCARE LLC,M1168225,ASSEMBLY MONITOR FRONT UNIT COMPACT F/CARESCAPE B650 TOUCHSCREEN EA,PHYSIOLOGICAL MONITORING SYSTEMS,11375.53,3
CT,GE,GE PRECISION HEALTHCARE LLC,E8003DH,STRAP POSITIONING CHIN F/AXIAL HEAD HOLDER,COMPUTED TOMOGRAPHY,5735.246999999999,87
CT,GE,GE PRECISION HEALTHCARE LLC,2277404,SENSOR CT SCAN ASSEMBLY REAR COVER MIST GRAY 2277404,COMPUTED TOMOGRAPHY,1947.6,1
CT,GE,GE PRECISION HEALTHCARE LLC,E4502F,UPS COMPUTED TOMOGRAPHY 14 KVA 3-PHASE PARTIAL,COMPUTED TOMOGRAPHY,84213.0,4
CT,GE,GE PRECISION HEALTHCARE LLC,E8007TN,GEL ELECTRODE IVY NUPREP COMPUTED TOMOGRAPHY 4OZ,COMPUTED TOMOGRAPHY,4584.0,32
CT,GE,GE PRECISION HEALTHCARE LLC,2017857-002,BATTERY PRODUCT SPECIFIC 11.1V 3.9AH LITHIUM RECHARGEABLE F/SMBUS 3S2P 18650 EA,PHYSIOLOGICAL MONITORING SYSTEMS,20007.97,37
CT,GE,GE PRECISION HEALTHCARE LLC,2115996-3,HOLDER CARBON AXIAL W/PLATE F/COMPUTED TOMOGRAPHY,COMPUTED TOMOGRAPHY,2178.0,1
CT,GE,GE PRECISION HEALTHCARE LLC,D3199T,TUBE RADIOLOGY CT VCT UNIT LIGHT SPEED MAXIRAY,COMPUTED TOMOGRAPHY,339850.0,5
CT,GE,GE PRECISION HEALTHCARE LLC,2108452-001,BOARD CURRENT F/CARESCAPE B450 DIRECT,PHYSIOLOGICAL MONITORING SYSTEMS,5501.74,11
CT,GE,GE PRECISION HEALTHCARE LLC,E8016AC,SLICKER CT TABLE W/METAL-FREE HEAD HOLDER F/HISPEED ADVANTAGE SYSTEM,COMPUTED TOMOGRAPHY,1814.3999999999999,6
CT,GE,GE PRECISION HEALTHCARE LLC,5153836,BATTERY PRODUCT SPECIFIC QUARTZ SRAM 2KX8 SOLP28 SITE ID 502587LABB3,COMPUTED TOMOGRAPHY,1403.0,15
CT,GE,GE PRECISION HEALTHCARE LLC,633132,BATTERY PRODUCT SPECIFIC 12V 2300MA RECHARGEABLE LEAD ACID SEALED LOW ALARM F/DINAMAP PRO 100-400 V1 110-410 V2 PROCARE EA,PHYSIOLOGICAL MONITORING SYSTEMS,1030.08,7
CT,GE,GE PRECISION HEALTHCARE LLC,E8100JJ,BOOK LOG PATIENT TREATMENT PAGEX 64 DOUBLE-SIDED F/COMPUTED TOMOGRAPHY,COMPUTED TOMOGRAPHY,9562.405999999994,108
CT,GE,GE PRECISION HEALTHCARE LLC,E8003DG,SPONGE POSITIONING FOAM,COMPUTED TOMOGRAPHY,201.07,12
CT,GE,GE PRECISION HEALTHCARE LLC,2009915-001,KIT CASE MONITOR VITAL SIGN BLOOD PRESSURE CONNECTOR USER CARD HANDLE FRONT CHASSIS LABEL PROCARE 400 LATEX-FREE DEHP-FREE,PHYSIOLOGICAL MONITORING SYSTEMS,300.0,2
CT,GE,GE PRECISION HEALTHCARE LLC,46-229455P1,FAN EQUIPMENT,COMPUTED TOMOGRAPHY,70.8,1
CT,GE,GE PRECISION HEALTHCARE LLC,5793515,DEVICE FUSE COMPUTED TOMOGRAPHY 200A,COMPUTED TOMOGRAPHY,444.54,1
CT,OTHER,GENERAL ELECTRIC COMPANY,5248652,ASSEMBLY CT SCAN IMAGE DISK 72GB DIGITAL LEADER,COMPUTED TOMOGRAPHY,4793.4,1
CT,OTHER,GENERAL ELECTRIC COMPANY,0,UNKNOWN,COMPUTED TOMOGRAPHY,34324.0,2
CT,OTHER,GENERIC MEDICAL INC,0,UNKNOWN,COMPUTED TOMOGRAPHY,11.66,1
CT,OTHER,"GENTHERM MEDICAL, LLC",39020,PROBE TEMPERATURE ESOPHAGEAL RECTAL DISPOSABLE 20/BX,PHYSIOLOGICAL MONITORING SYSTEMS,150.07,1
CT,OTHER,GETINGE USA INC,0,UNKNOWN,COMPUTED TOMOGRAPHY,315.88,2
CT,OTHER,"GETINGE USA SALES, LLC",701048802,CABLE CONNECTION DISPOSABLE F/INTERNAL SENSOR,PHYSIOLOGICAL MONITORING SYSTEMS,8318.55,4
CT,OTHER,"GETINGE USA SALES, LLC",6882741,CABLE PRESSURE MONITOR W/INJECTATE SENSOR,PHYSIOLOGICAL MONITORING SYSTEMS,6179.0,5
CT,OTHER,"GETINGE USA SALES, LLC",0,UNKNOWN,COMPUTED TOMOGRAPHY,4217.35,4
CT,OTHER,"GETINGE USA SALES, LLC",0998-00-0003-56,CUFF BLOOD PRESSURE ADULT/THIGH FABRIC ONE PIECE 1-TUBE BAYONET CONNECTOR REUSABLE,PHYSIOLOGICAL MONITORING SYSTEMS,76.14,1
CT,OTHER,"GLOBUS MEDICAL NORTH AMERICA, LLC",6143.2534,"TAP ARRAY, 15MM",COMPUTED TOMOGRAPHY,11136.0,4
CT,OTHER,"GLOBUS MEDICAL NORTH AMERICA, LLC",6143.2525,VERIFICATION PROBE,COMPUTED TOMOGRAPHY,6000.0,2
CT,OTHER,"GLOBUS MEDICAL NORTH AMERICA, LLC",6143.2545,INTRA-OP CT REGISTRATION FIXTURE,COMPUTED TOMOGRAPHY,40464.0,9
CT,OTHER,"GLOBUS MEDICAL NORTH AMERICA, LLC",6143.2546,INTRA-OP CT REGISTRATION FIXTURE PIVOTING ARM,COMPUTED TOMOGRAPHY,27609.0,13
CT,OTHER,"HEIDELBERG ENGINEERING, INC.",88024A,MODULE OPTICAL COHERENCE TOMOGRAPHY NON-INVASIVE,COMPUTED TOMOGRAPHY,34500.0,3
CT,OTHER,"HILL-ROM COMPANY, INC.",714671,HOLDER MONITOR DISINFECTING WIPE MOUNT BRACKET WIRE F/MOBILE STAND 4800-60 4900-60 7000-APM EA,PHYSIOLOGICAL MONITORING SYSTEMS,2934.97,25
CT,OTHER,"HOLOGIC SALES AND SERVICE, LLC",FAB-08155,COVER RADIOLOGY SOURCE TOP LEFT,COMPUTED TOMOGRAPHY,301.0,1
CT,OTHER,HOSPITALS SERVICES EXPENSES,0,UNKNOWN,COMPUTED TOMOGRAPHY,5400.0,1
CT,OTHER,IMAGING SCIENCES INTERNATIONAL,0.830.6000,I-CAT FLX (V17),COMPUTED TOMOGRAPHY,93724.85,1
CT,OTHER,INSTRUMENTATION INDUSTRIES INC.,BE105-7PK,SWIVEL BRONCHOSCOPE 15MM ID/OD CONNECTOR POLYETHERMIDE SILICONE RUBBER CAP REUSABLE 10/PK,PHYSIOLOGICAL MONITORING SYSTEMS,3054.15,7
CT,OTHER,"INTERSTATE BATTERY SYSTEM INTERNATIONAL, INC.",MED0266,BATTERY PRODUCT SPECIFIC 11.10V 6000MAH LITHIUM PRESSURE CONTACT TERMINAL F/WA CONEX VSM EA,PHYSIOLOGICAL MONITORING SYSTEMS,9972.48,25
CT,OTHER,IOPI MEDICAL LLC,5-0001,TUBE MONITOR PRO SERIES CONNECTOR F/DIAGNOSTIC,PHYSIOLOGICAL MONITORING SYSTEMS,1443.0,25
CT,OTHER,IRADIMED CORPORATION,HE13,ANTENNA MONITOR OMNI-DIRECTIONAL F/3880 MONITOR 3885-B BASE STATION EA,PHYSIOLOGICAL MONITORING SYSTEMS,4688.1,45
CT,OTHER,JOHNSON & JOHNSON HEALTH CARE SYSTEMS INC.,KT5400160,MODULE EKG AUTOMATIC 3D F/CARTO 3 SYSTEM CARTOSEG CT,COMPUTED TOMOGRAPHY,64000.0,4
CT,OTHER,LAP OF AMERICA LASER APPLICATIONS LLC,LI-3,SYSTEM RADIOLOGY INSTALLATION DORADONOVA LASER POSITIONING,COMPUTED TOMOGRAPHY,6300.0,1
CT,OTHER,LAP OF AMERICA LASER APPLICATIONS LLC,0007536-0012,SYSTEM POSITIONING LASER,COMPUTED TOMOGRAPHY,74419.0,6
CT,OTHER,LIFESYNC CORPORATION,LS-319,CABLE TELEMETRY 0.1M 5-LEAD WIRE CONNECTOR EA,PHYSIOLOGICAL MONITORING SYSTEMS,20720.0,19
CT,OTHER,LIFESYNC CORPORATION,CB-73396R,CABLE EKG TRUNK UNIVERSAL 10FT 3-LEAD AHA 17-PIN YOKE TO SPACELABS CONNECT RT/LT ARM LT LEG AMC&E LWS SPACELABS MEDICAL COMPATIBLE,PHYSIOLOGICAL MONITORING SYSTEMS,232.2,1
CT,OTHER,"MAGUIRE ENTERPRISES, INC.",ME590006K-20,CABLE EKG 20FT INTERCONNECT TO 1/4IN PHONE OUTPUT 12-PIN F/HEARTSTART MR MAQUET DATASCOPE TO PHYSIOCONTROL LIFEPAK,PHYSIOLOGICAL MONITORING SYSTEMS,2752.0,3
CT,OTHER,"MAGUIRE ENTERPRISES, INC.",ME590185P,CABLE EKG IBP 14FT INTERCONNECT TO 1/4IN 2-CIRCUIT PHONE OUTPUT 9-PIN F/GE DATASCOPE BALLOON PUMP PHILIPS VOLCANO,PHYSIOLOGICAL MONITORING SYSTEMS,8486.0,10
CT,OTHER,"MAGUIRE ENTERPRISES, INC.",ME590335,CABLE EKG IBP MULTIPLIER 14FT INTERCONNECT TO 1/4IN PHONE OUTPUT AAMI STANDARD 6-PIN INPUT F/PHILIPS MAQUET DATASCOPE ZOLL MEDICAL,PHYSIOLOGICAL MONITORING SYSTEMS,17398.0,22
CT,OTHER,"MAGUIRE ENTERPRISES, INC.",ME590257P,CABLE EKG IBP MULTIPLIER 5FT INTERCONNECT TO 1/4IN PHONE OUTPUT 9-PIN F/GE MONITOR MULTIPLE PHONE JACK,PHYSIOLOGICAL MONITORING SYSTEMS,8585.0,10
CT,OTHER,"MAGUIRE ENTERPRISES, INC.",ME590027,CABLE EKG 1V 14FT INTERCONNECT TO 1/4IN 2-CIRCUIT PHONE OUTPUT SYNC 9-PIN F/SPACELABS DATASCOPE EDWARDS CCO PHILIPS SIEMENS,PHYSIOLOGICAL MONITORING SYSTEMS,4746.0,7
CT,OTHER,"MAGUIRE ENTERPRISES, INC.",ME590338J,CABLE EKG IBP 14FT INTERCONNECT TO 1/4IN PHONE OUTPUT F/PHILIPS MAQUET DATASCOPE EDWARDS CCO SIEMENS,PHYSIOLOGICAL MONITORING SYSTEMS,16942.16,30
CT,OTHER,"MAMMOTH, INC.",E5910,ELECTRODE EKG MEDI-TRACE 530 SERIES 1 3/16IN ADULT FOAM,PHYSIOLOGICAL MONITORING SYSTEMS,9325.199999999999,11
CT,OTHER,MAQUET MEDICAL SYSTEMS USA,0998-00-0003-54,CUFF BLOOD PRESSURE ACCUTORR PLUS 1-PIECE 1-TUBE 26-35CM CIRC ADULT BAYONET RECTUS MALE CONNECTOR ANTIMICROBIAL HOOK-LOOP FABRIC NAVY REUSABLE,PHYSIOLOGICAL MONITORING SYSTEMS,75.58000000000001,3
CT,OTHER,"MASIMO AMERICAS, INC.",RED LNC-10,CABLE PULSE OXIMETER 10FT PATIENT MINI D CONNECTOR F/MASIMO LNCS SENSOR EA,PHYSIOLOGICAL MONITORING SYSTEMS,14360.050000000001,12
CT,OTHER,MAVIG,UT70-90NSWS,SYSTEM RADIOLOGY PROTECTION LOWER BODY UT70 W/9 MM ACCESSORY RAIL,PHYSIOLOGICAL MONITORING SYSTEMS,198670.0,15
CT,OTHER,MEASUREMENT SPECIALTIES,4491,PROBE TEMPERATURE 9FR ESOPHAGEAL RECTAL GENERAL PURPOSE MOLEX CONNECTOR STERILE SINGLE-USE F/MONITORING 20/BX,PHYSIOLOGICAL MONITORING SYSTEMS,476.0,2
CT,OTHER,"MEDLINE INDUSTRIES, LP",MDS61115R,ELECTRODE EKG NEONATE RADIOTRANSLUCENT 3/PK,PHYSIOLOGICAL MONITORING SYSTEMS,415.842,1
CT,OTHER,"MEDLINE INDUSTRIES, LP",MDS9721HP,CUFF BLOOD PRESSURE CHILD POLYESTER 1-TUBE BAYONET CONNECTOR HOOK-LOOP CLOSURE COLOR-CODED LATEX-FREE DISPOSABLE,PHYSIOLOGICAL MONITORING SYSTEMS,12.63,1
CT,OTHER,"MEDLINE INDUSTRIES, LP",DYNJ47212,PACK PROCEDURE INTERVENTIONAL COMPUTED TOMOGRAPHY MCK 20/CA,COMPUTED TOMOGRAPHY,13638.04,6
CT,OTHER,"MEDLINE INDUSTRIES, LP",MDSMQ2YRX4,ADAPTER BLOOD PRESSURE 1-STRAIGHT TUBE MARQUETTE BAYONET CONNECTOR MQ-HP FEMALE HP Y DUAL LUER-LOCK METAL F/NIBP LATEX-FREE REUSABLE EA,PHYSIOLOGICAL MONITORING SYSTEMS,30.4,1
CT,OTHER,"MEDLINE INDUSTRIES, LP",DYNJ66428D,BASIC CT PACK,COMPUTED TOMOGRAPHY,167236.16899999997,30
CT,OTHER,"MEDLINE INDUSTRIES, LP",DYNJ47211,PACK PROCEDURE RADIOLOGY NON-VASCULAR COMPUTED TOMOGRAPHY MCK DBD W/TRU-SWAB CONNECTOR CHLORAPREP DRAPE POWER INJECTABLE POLYURETHANE 4/CA,COMPUTED TOMOGRAPHY,37755.52,13
CT,OTHER,"MEDLINE INDUSTRIES, LP",64042051,CABLE MONITOR 6FTL ROUND 4-PIN CONNECTOR F/CAMTRONICS EMAGEON MEDCON LATEX-FREE,PHYSIOLOGICAL MONITORING SYSTEMS,943.32,1
CT,OTHER,"MEDLINE INDUSTRIES, LP",MDS9714MQV,CUFF BLOOD PRESSURE 2-TUBE LARGE ADULT MARQUETTE CONNECTOR VINYL LATEX-FREE PVC DISPOSABLE 5/BX,PHYSIOLOGICAL MONITORING SYSTEMS,975.84,7
CT,OTHER,"MEDLINE INDUSTRIES, LP",CQCMDLN0003,STAND MONITOR ROLLING W/BASKET/WRAP/POWER STRIP F/CARE CONNECTION CART,PHYSIOLOGICAL MONITORING SYSTEMS,6156.0,1
CT,OTHER,"MEDLINE INDUSTRIES, LP",MDSDM2YRX4,ADAPTER BLOOD PRESSURE 1-TUBE MALE 2-SCREW BAYONET CONNECTOR FEMALE HP Y DUAL LUER-LOCK METAL LATEX-FREE REUSABLE EA,PHYSIOLOGICAL MONITORING SYSTEMS,256.02,9
CT,OTHER,"MEDLINE INDUSTRIES, LP",DYNJ81943,PACK SURGICAL PROCEDURE CUSTOM COMPUTED TOMOGRAPHY BRING BACK STERILE SINGLE-USE 4/CA,COMPUTED TOMOGRAPHY,2491.1600000000003,8
CT,OTHER,MEDTEC LLC DBA CQ MEDICAL,MTIL3019,OVERLAY CT STANDARD IMAGING CARBON FIBER LIGHTWEIGHT DURABLE SIEMENS DEFINITION 219.9IN X 53IN X 3.8CM PRODIGY INDEXING,COMPUTED TOMOGRAPHY,16000.0,1
CT,OTHER,"MEDTRONIC, INC.",BI75000030,SYSTEM IMAGING INTRA-OPERATIVE MULTI-DIMENSIONAL ADVANCED W/REAL TIME 3D/2D IMAGE F/COMPLEX/MINIMALLY INVASIVE PROCEDURES,COMPUTED TOMOGRAPHY,538526.2,31
CT,OTHER,MIDMARK SALES CORPORATION,3-009-0058,COVER PROBE TEMPERATURE ORAL AXILLARY DISPOSABLE F/ALARIS TURBO TEMP IQVITALS 20/BX 10BX/CT,PHYSIOLOGICAL MONITORING SYSTEMS,5312.606,198
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1514-03,SET LEADWIRE EKG MOBILITY 36IN 5-LEAD AAMI PINCH CONNECTOR F/DPM PASSPORT SPECTRUM OR REUSABLE 5/BX,PHYSIOLOGICAL MONITORING SYSTEMS,69.0,1
CT,OTHER,"MINDRAY DS USA, INC.",045-002935-00,MOUNT MONITOR ROLL STAND CLEANING/DISINFECTING WIPE F/ACCUTORR 3 7 EPM 10M 12M N12 EA,PHYSIOLOGICAL MONITORING SYSTEMS,572.32,15
CT,OTHER,"MINDRAY DS USA, INC.",0600-00-0121,SENSOR PULSE OXIMETER ADTX LNCS ADULT SPO2 ADHESIVE SINGLE PATIENT USE F/ACCUTORR V DPM DUO TRIO PASSPORT 2 V SPECTRUM OR >30KG PATIENT 20/BX,PHYSIOLOGICAL MONITORING SYSTEMS,1400.88,5
CT,OTHER,"MINDRAY DS USA, INC.",115-027713-00,CUFF BLOOD PRESSURE 10-19CM CIRC CHILD QUICK-CONNECT NYLON ORANGE F/NIBP REUSABLE EA,PHYSIOLOGICAL MONITORING SYSTEMS,433.42999999999995,5
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1255-03,CABLE EKG TRUNK 10FT RIGHT ANGLED 3/5-LEAD COLOR-CODED F/DATASCOPE PASSPORT SPECTRUM MONITOR REUSABLE,PHYSIOLOGICAL MONITORING SYSTEMS,115.86,1
CT,OTHER,"MINDRAY DS USA, INC.",115-027716-00,CUFF BLOOD PRESSURE 33-47CM CIRC LARGE ADULT QUICK-CONNECT NYLON WINE F/NIBP REUSABLE EA,PHYSIOLOGICAL MONITORING SYSTEMS,4578.880000000001,50
CT,OTHER,"MINDRAY DS USA, INC.",0010-30-42734,SET LEADWIRE EKG 36IN 3-LEAD AHA SNAP CONNECTOR THERMOPLASTIC POLYURETHANE PEDIATRIC ADULT F/DPM PASSPORT T1 MONITOR 3/BX,PHYSIOLOGICAL MONITORING SYSTEMS,171.0,1
CT,OTHER,"MINDRAY DS USA, INC.",125-000123-00,CORD BP POWER IBP XDUCER 12-PIN EDWARD CONNECTOR GENERAL USE,PHYSIOLOGICAL MONITORING SYSTEMS,13947.199999999999,12
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1652,CABLE PULSE OXIMETER 4FT SPO2 F/MASIMO ACCUTORR DUO TRIO PASSPORT SPECTRUM LNC-4 1/BX,PHYSIOLOGICAL MONITORING SYSTEMS,362.68,2
CT,OTHER,"MINDRAY DS USA, INC.",0683-04-0004,HOSE BLOOD PRESSURE 10FT QUICK-CONNECT F/NIBP ACCUTORR V DUO TRIO PASSPORT V SPECTRUM OR TRIO V EA,PHYSIOLOGICAL MONITORING SYSTEMS,6792.790000000003,52
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1099-02,CABLE PULSE OXIMETER 12FT SPO2 F/MASIMO ACCUTORR DUO TRIO PASSPORT SPECTRUM LNOP PC12 EA,PHYSIOLOGICAL MONITORING SYSTEMS,148.5,1
CT,OTHER,"MINDRAY DS USA, INC.",0011-30-90442,PROBE TEMPERATURE MR403 ADULT SKIN REUSABLE F/AUDIO MONITOR DIRECT CONNECT DPM 4 5 EA,PHYSIOLOGICAL MONITORING SYSTEMS,250.893,2
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1262-08,SET LEADWIRE EKG 24IN 3-LEAD AAMI PINCH CLIP CONNECTOR F/TRIO PASSPORT 2 SPECTRUM OR 3/ST,PHYSIOLOGICAL MONITORING SYSTEMS,433.5,2
CT,OTHER,"MINDRAY DS USA, INC.",009-001768-00,CABLE MONITOR TYPE B SERIAL PORT ADAPTER M/M CONNECTOR F/N SERIES PASSPORT EA,PHYSIOLOGICAL MONITORING SYSTEMS,288.78,3
CT,OTHER,"MINDRAY DS USA, INC.",115-018012-00,PACK BATTERY PRODUCT SPECIFIC 11.1V 4500MA LITHIUM ION F/A3/A4/A5/A7/A-SERIES 1/BX,PHYSIOLOGICAL MONITORING SYSTEMS,3575.7599999999998,9
CT,OTHER,"MINDRAY DS USA, INC.",009-004772-00,SET LEADWIRE EKG MOBILITY 36IN 3-LEAD AHA PINCH CONNECTOR F/EPM N SERIES TD60 3/BX,PHYSIOLOGICAL MONITORING SYSTEMS,3456.45,12
CT,OTHER,"MINDRAY DS USA, INC.",0146-00-0069,BATTERY PRODUCT SPECIFIC 11.1V 4.4AHM RECHARGEABLE LITHIUM ION F/3000 SERIES DATASCOPE PASSPORT,PHYSIOLOGICAL MONITORING SYSTEMS,230.92,2
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1464,CABLE PULSE OXIMETER SPO2 F/NELLCOR OXIMAX ACCUTORR DUO TRIO PASSPORT SPECTRUM DOC10 EA,PHYSIOLOGICAL MONITORING SYSTEMS,317.29,2
CT,OTHER,"MINDRAY DS USA, INC.",0010-30-42902,SET LEADWIRE EKG 12-LEAD PINCH CLIP CONNECTOR LIMB F/N SERIES DPM PASSPORT T1 MONITOR 12/BX,PHYSIOLOGICAL MONITORING SYSTEMS,260.0,1
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1255-01,CABLE EKG TRUNK 10FT 3/5-LEAD F/LEADWIRE TRIO PASSPORT SPECTRUM EA,PHYSIOLOGICAL MONITORING SYSTEMS,1826.24,6
CT,OTHER,"MINDRAY DS USA, INC.",115-065140-00,PACK BATTERY PRODUCT SPECIFIC LITHIUM ION F/ULTRASOUND SYSTEM GENERAL USE,PHYSIOLOGICAL MONITORING SYSTEMS,1696.5299999999997,6
CT,OTHER,"MINDRAY DS USA, INC.",115-027717-00,CUFF BLOOD PRESSURE 46-66CM CIRC QUICK-CONNECT NYLON BROWN THIGH F/NIBP REUSABLE EA,PHYSIOLOGICAL MONITORING SYSTEMS,850.81,16
CT,OTHER,"MINDRAY DS USA, INC.",0600-00-0126,SENSOR PULSE OXIMETER DCI LNCS ADULT FINGER TIP SPO2 REUSABLE F/ACCUTORR V DPM DUO TRIO PASSPORT 2 V SPECTRUM OR >30KG PATIENT 1/BX,PHYSIOLOGICAL MONITORING SYSTEMS,2328.69,3
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1261-08,SET LEADWIRE EKG 24IN 3-LEAD AAMI SNAP CONNECTOR F/TRIO PASSPORT 2 SPECTRUM OR 3/BX,PHYSIOLOGICAL MONITORING SYSTEMS,1209.0,3
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-0975,CABLE MONITOR 400 F/400 SERIES PROBE TRIO PASSPORT SPECTRUM EA,PHYSIOLOGICAL MONITORING SYSTEMS,9076.96,46
CT,OTHER,"MINDRAY DS USA, INC.",0600-00-0157,SENSOR PULSE OXIMETER NEO-L LNCS NEONATE SPO2 ADHESIVE SINGLE PATIENT USE F/ACCUTORR V DPM DUO TRIO PASSPORT 2 V SPECTRUM OR <3KG >40KG PATIENT 20/BX,PHYSIOLOGICAL MONITORING SYSTEMS,355.73,1
CT,OTHER,"MINDRAY DS USA, INC.",6200-30-11560,HOSE BLOOD PRESSURE 3M NEONATE CONNECTOR F/NIBP N12 N15 N17 N19 N22 EA,PHYSIOLOGICAL MONITORING SYSTEMS,124.03,3
CT,OTHER,"MINDRAY DS USA, INC.",009-004771-00,SET LEADWIRE EKG MOBILITY 24IN 3-LEAD AHA PINCH CONNECTOR F/EPM N SERIES TD60 3/BX,PHYSIOLOGICAL MONITORING SYSTEMS,997.77,3
CT,OTHER,"MINDRAY DS USA, INC.",009-004786-00,SET LEADWIRE EKG MOBILITY 24IN 5-LEAD AHA PINCH CONNECTOR F/EPM N SERIES PASSPORT T1 MONITOR TD60 TM80 5/BX,PHYSIOLOGICAL MONITORING SYSTEMS,529.25,1
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1261-13,LEADWIRE EKG 3/40IN X 2/60IN 5-LEAD SNAP EXTENDED CONNECTOR F/PASSPORT 2/ SPECTRUM/ TRIO,PHYSIOLOGICAL MONITORING SYSTEMS,1434.0,4
CT,OTHER,"MINDRAY DS USA, INC.",115-004869-00,SET LEADWIRE TELEMETRY 5-LEAD EKG AHA SNAP CONNECTOR F/TEL-200 5/ST,PHYSIOLOGICAL MONITORING SYSTEMS,1764.8500000000001,4
CT,OTHER,"MINDRAY DS USA, INC.",0683-04-0003,HOSE BLOOD PRESSURE 5FT QUICK-CONNECT F/NIBP ACCUTORR V DUO TRIO PASSPORT V SPECTRUM OR TRIO V EA,PHYSIOLOGICAL MONITORING SYSTEMS,970.27,8
CT,OTHER,"MINDRAY DS USA, INC.",115-027568-00,CUFF BLOOD PRESSURE LONG 35.5-46CM CIRC ADULT QUICK-CONNECT WHITE BLUE INK F/NIBP LATEX-FREE PVC-FREE DISPOSABLE 10/BX,PHYSIOLOGICAL MONITORING SYSTEMS,273.76,2
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1514-06,SET LEADWIRE EKG MOBILITY 36IN 3-LEAD AAMI CLIP PINCH CONNECTOR F/DPM PASSPORT SPECTRUM OR T1 MONITOR REUSABLE 3/BX,PHYSIOLOGICAL MONITORING SYSTEMS,4706.9,10
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1514-05,SET LEADWIRE EKG MOBILITY 24IN 3-LEAD AAMI CLIP PINCH CONNECTOR F/DPM PASSPORT SPECTRUM OR T1 MONITOR REUSABLE 3/BX,PHYSIOLOGICAL MONITORING SYSTEMS,2369.75,4
CT,OTHER,"MINDRAY DS USA, INC.",0012-00-1261-02,SET LEADWIRE EKG 24IN 5-LEAD AAMI SNAP CONNECTOR F/TRIO PASSPORT 2 SPECTRUM OR 5/ST,PHYSIOLOGICAL MONITORING SYSTEMS,775.75,5
CT,OTHER,"MINDRAY DS USA, INC.",115-027714-00,CUFF BLOOD PRESSURE 18-26CM CIRC SMALL ADULT QUICK-CONNECT NYLON BLUE F/NIBP REUSABLE EA,PHYSIOLOGICAL MONITORING SYSTEMS,2531.2600000000007,30
CT,OTHER,"MINDRAY DS USA, INC.",0146-00-0043,BATTERY PRODUCT SPECIFIC 12V RECHARGEABLE LEAD ACID F/DATASCOPE PASSPORT 2 PATIENT MONITOR,PHYSIOLOGICAL MONITORING SYSTEMS,366.84000000000003,3
